horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.32888880195095377,0.1914310854241685,1.7180532682150846,0.6621245963476974,0.2571452083914741,2.574905441518819,0.03990797227170473,204,"term_spread, default_spread",0
3,0.8986350504445547,0.21801591138946785,4.121878282724125,1.279788114276089,0.4650902233886569,2.7516985950629675,0.1076059623316219,204,"term_spread, default_spread",2
6,1.2627236472340286,0.38766177953689224,3.257281769542773,1.7928787105969384,0.3840329758100528,4.668554065741785,0.15449314691676486,204,"term_spread, default_spread",5
