horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.09616274143308189,0.1488113869893209,0.6462055315698575,0.0886284943705492,0.15078939754360146,0.5877634357211479,0.008045902702814689,401,"term_spread, default_spread",0
3,0.3210919442165313,0.2862228947394968,1.1218248089789262,0.22208213153214687,0.2627549831361217,0.8452061646233211,0.02545251718539021,399,"term_spread, default_spread",2
6,0.3594928094273804,0.33811006323248943,1.0632419691696307,0.30546682764938204,0.3736962100133817,0.8174201917606913,0.01638200138699475,396,"term_spread, default_spread",5
