horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,-0.08487612630105924,0.16248558415786593,-0.5223609635338249,-0.22093154272617402,0.23346396332572872,-0.9463196785446948,0.01624201850122986,220,"term_spread, default_spread",0
3,-0.002281814376094242,0.2629897274082368,-0.008676439184836298,-0.30454997421737345,0.27776735545793735,-1.096421045285474,0.03329642317185344,218,"term_spread, default_spread",2
6,-0.09153178648644208,0.23601816353680347,-0.387816704929869,-0.4465504078959223,0.407052493440922,-1.097033957760863,0.04108722292847933,215,"term_spread, default_spread",5
