,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.006998,0.056388,-7.277753,71.455628,0.116799,-0.610211,0.101722,220.0
RV,0.039959,0.088504,6.731044,54.396866,0.466188,0.001796,0.896865,220.0
VIX2,0.046958,0.047816,3.439632,15.118258,0.748387,0.009044,0.358681,220.0
EVT_RV,0.047442,0.073518,4.051136,23.848249,0.67685,0.001796,0.656025,220.0
EVT_VRP,-0.000484,0.054482,-6.584033,65.940527,0.469362,-0.594372,0.129785,220.0
