horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.2697332800393686,0.1951708773696448,1.3820365193548112,0.46750841730152737,0.3211314797864742,1.4558162208587637,0.03457185499347848,181,"term_spread, default_spread",0
3,0.7728670956426867,0.2744581119771261,2.815974685809611,0.42050559292201806,0.5704162547135003,0.7371907610403265,0.09176608606595871,181,"term_spread, default_spread",2
6,1.1134516826984986,0.45619352814200204,2.4407441447786344,0.6048564423181269,0.7227273871491136,0.8369081524695736,0.14355654434854925,181,"term_spread, default_spread",5
