horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.07835937924906819,0.13426176789391658,0.5836313678737033,0.048714329032670055,0.05447072503280565,0.8943212891572723,0.0078054754665005666,401,"term_spread, default_spread",0
3,0.2980849653970407,0.27549405178522945,1.0820014568932428,0.1487244602371029,0.10513670005087344,1.4145817793894828,0.027323173573645776,399,"term_spread, default_spread",2
6,0.3387260068344978,0.3234131925763555,1.047347525115343,0.2179852692238608,0.15242383224705391,1.430125893111929,0.018884331919723496,396,"term_spread, default_spread",5
