,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.01489,0.017018,-0.056161,6.093207,0.175691,-0.079647,0.078842,216.0
RV,0.024995,0.026129,2.666171,9.017635,0.602646,0.002476,0.182239,216.0
VIX2,0.039885,0.028494,2.025382,6.267476,0.788058,0.010858,0.196072,216.0
EVT_RV,0.025184,0.022973,1.857605,3.907893,0.763489,0.003231,0.122346,181.0
EVT_VRP,0.015222,0.019127,2.933764,16.677651,0.342499,-0.030958,0.151193,181.0
