horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.3005073037930691,0.2490393360181624,1.2066660174967427,0.08937628146779089,0.30223544767267635,0.29571740229685495,0.017488217563731312,204,"term_spread, default_spread",0
3,0.5867782180156041,0.2730757920433141,2.148774205230656,-0.3966940313317383,0.5351064176966933,-0.7413367102552499,0.0814078596295349,204,"term_spread, default_spread",2
6,0.8398694342631594,0.490194904244284,1.7133377499261362,-0.5246451952648794,0.7412222844211456,-0.7078108771036192,0.12828771994757515,204,"term_spread, default_spread",5
