horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.020129927729843677,0.14011101283864918,0.14367127409909708,-0.05846960092981818,0.20355908833075517,-0.28723650419780433,0.005509127339238473,424,"term_spread, default_spread",0
3,0.45493812455963134,0.23619006660141434,1.9261526579242987,0.7288827999736923,0.31015612957684247,2.350051249891899,0.04235127778838188,422,"term_spread, default_spread",2
6,0.468057737042449,0.26079941313054833,1.7947039505344033,0.8106648960646183,0.5768825760260564,1.40525113732678,0.024493269073545987,419,"term_spread, default_spread",5
