sample,threshold,window,inference,horizon,beta_VRP,beta_deltaVRP,R2,N,t_VRP,t_deltaVRP,se_deltaVRP
BTZ_1990_2007,0.85,756,Hodrick,1,0.3197180816300461,0.5587902390280258,0.0495212821664449,181,1.7268304999566482,3.3350627260727306,
BTZ_1990_2007,0.85,756,Hodrick,3,0.9236904640990828,1.1955229195094934,0.1314944829771869,181,4.848031750197028,2.865267204841206,
BTZ_1990_2007,0.85,756,Hodrick,6,1.2881113932184751,1.4428746910949977,0.1709897665709928,181,3.48945889580462,3.4800678957991473,
BTZ_1990_2007,0.9,756,Hodrick,1,0.2983608511174218,0.5254837666100789,0.0416986019547436,181,1.5497292894726384,2.8724267373279098,
BTZ_1990_2007,0.9,756,Hodrick,3,0.8734018216414254,1.0865436919011733,0.1173177535098507,181,4.097307551571036,2.1467955679572603,
BTZ_1990_2007,0.9,756,Hodrick,6,1.24437950049486,1.450579039376081,0.1654881211077095,181,3.3507725627223612,4.114828306099885,
BTZ_1990_2007,0.95,756,Hodrick,1,0.2697332800393686,0.4675084173015273,0.0345718549934784,181,1.382036519354838,1.455816220858766,
BTZ_1990_2007,0.95,756,Hodrick,3,0.7728670956426867,0.420505592922018,0.0917660860659587,181,2.9936180816296374,0.7133903688965244,
BTZ_1990_2007,0.95,756,Hodrick,6,1.1134516826984986,0.6048564423181269,0.1435565443485492,181,2.6285163198670176,0.778462697041019,
FULL_1990_end,0.85,252,HAC,1,-0.0333192064128548,-0.1511583309196311,0.0089097343379429,424,-0.227065394307565,-0.772860262580423,0.195583002825044
FULL_1990_end,0.85,252,HAC,3,0.0133839381233852,-0.3353765520575488,0.0264032457055432,422,0.0510451211830825,-1.2908808549561082,0.2598044201910114
FULL_1990_end,0.85,252,HAC,6,-0.0948003897054639,-0.5170178050248991,0.0188083722797471,419,-0.3608083057225991,-1.386209637267608,0.3729723060099377
FULL_1990_end,0.9,252,HAC,1,0.1572499013547138,0.1744234014059434,0.0099914127070163,424,1.0428825069168235,0.7921758991962924,0.2201826659746982
FULL_1990_end,0.9,252,HAC,3,0.7461944990929995,0.8568925978498804,0.0615730641795212,422,3.800627286274075,4.339322484096048,0.1974715179594183
FULL_1990_end,0.9,252,HAC,6,0.8888681436155952,1.0998132220104575,0.0435240845776188,419,3.963216570132572,2.9474296336907706,0.3731431649593859
FULL_1990_end,0.95,252,HAC,1,0.0201299277298436,-0.0584696009298181,0.0055091273392384,424,0.143671274099097,-0.2872365041978043,0.2035590883307551
FULL_1990_end,0.95,252,HAC,3,0.4549381245596313,0.7288827999736923,0.0423512777883818,422,1.926152657924299,2.350051249891899,0.3101561295768424
FULL_1990_end,0.95,252,HAC,6,0.468057737042449,0.8106648960646183,0.0244932690735459,419,1.7947039505344031,1.40525113732678,0.5768825760260564
FULL_1990_end,0.85,504,HAC,1,-0.001630206385963,-0.0564793034778673,0.0068046031733979,413,-0.0104011236490909,-0.4781805126437857,0.1181129343092674
FULL_1990_end,0.85,504,HAC,3,0.235286958282517,0.0805199581624894,0.0208587225978019,411,0.7045842445061485,0.3324491767504727,0.2422023087845559
FULL_1990_end,0.85,504,HAC,6,0.3633672181739116,0.2799173070057749,0.0156816864791928,408,0.9156774035425244,0.8035192509529596,0.3483641576400291
FULL_1990_end,0.9,504,HAC,1,0.0604539035885288,0.0362276907967342,0.0059888352083112,413,0.4130113745974048,0.1758321582259872,0.2060356374069684
