,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.01489,0.017018,-0.056161,6.093207,0.175691,-0.079647,0.078842,216.0
RV,0.024995,0.026129,2.666171,9.017635,0.602646,0.002476,0.182239,216.0
VIX2,0.039885,0.028494,2.025382,6.267476,0.788058,0.010858,0.196072,216.0
EVT_RV,0.027383,0.028523,2.385666,7.137124,0.654419,0.002476,0.170802,181.0
EVT_VRP,0.013023,0.01889,1.333373,10.660623,0.058448,-0.061088,0.132518,181.0
