horizon,beta_VRP,t_VRP,beta_deltaVRP,t_deltaVRP,R2,N,controls
1,-0.08176461898419031,-0.47106872100232744,-0.14101485557657883,-1.057775521791884,0.014516301643454632,220,"term_spread, default_spread"
3,0.10054470182854809,0.24988823968083282,-0.06611582619136008,-0.21624803040078777,0.026878142955862105,218,"term_spread, default_spread"
6,0.22679851828189299,0.5309163907259274,0.12083193977392115,0.29543870877811684,0.035288662939263915,215,"term_spread, default_spread"
