,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.006998,0.056388,-7.277753,71.455628,0.116799,-0.610211,0.101722,220.0
RV,0.039959,0.088504,6.731044,54.396866,0.466188,0.001796,0.896865,220.0
VIX2,0.046958,0.047816,3.439632,15.118258,0.748387,0.009044,0.358681,220.0
EVT_RV,0.041537,0.073282,4.356012,22.382969,0.601214,0.001796,0.558721,220.0
EVT_VRP,0.005421,0.041457,-3.222834,16.506949,0.155402,-0.272068,0.124774,220.0
