horizon,beta_VRP,t_VRP,beta_deltaVRP,t_deltaVRP,R2,N,controls
1,0.22605626411606053,1.065431038586568,-0.04314058353086011,-0.19922476417318355,0.022308674480580493,193,"term_spread, default_spread"
3,0.7000599620222298,2.8660834341984436,-0.13921971664386573,-0.5597509812417595,0.09040371724354845,193,"term_spread, default_spread"
6,1.0187008847531058,2.7174600951829273,-0.16728395438568672,-0.48330002048169934,0.14272556971966277,193,"term_spread, default_spread"
