,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.01489,0.017018,-0.056161,6.093207,0.175691,-0.079647,0.078842,216.0
RV,0.024995,0.026129,2.666171,9.017635,0.602646,0.002476,0.182239,216.0
VIX2,0.039885,0.028494,2.025382,6.267476,0.788058,0.010858,0.196072,216.0
EVT_RV,0.025088,0.025746,2.522273,8.061887,0.69748,0.002476,0.162492,193.0
EVT_VRP,0.014266,0.018893,1.696517,12.919104,0.245709,-0.0599,0.14202,193.0
