horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.04980006310815348,0.17440950491509113,0.2855352587142424,0.033409318429478016,0.17394470438691698,0.19206861483499613,0.005988061442690373,220,"term_spread, default_spread",0
3,0.21823518559705776,0.31658961777812233,0.6893314668013056,0.09682039101821313,0.293742028696423,0.3296102755464906,0.02758956105317878,218,"term_spread, default_spread",2
6,0.21763027487369993,0.3640883304829819,0.5977403191829911,0.12149558358225838,0.42255650523145427,0.2875250577806381,0.03523925210376344,215,"term_spread, default_spread",5
