horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.22605626411606053,0.2121735297067684,1.065431038586569,-0.04314058353086011,0.2165422742995875,-0.19922476417318338,0.022308674480580493,193,"term_spread, default_spread",0
3,0.7000599620222298,0.28362345481014467,2.468272458252243,-0.13921971664386573,0.3329560543677894,-0.41813240761821696,0.09040371724354845,193,"term_spread, default_spread",2
6,1.0187008847531058,0.4625980968437508,2.202129433094462,-0.16728395438568672,0.3937946970646915,-0.42479991638436354,0.14272556971966277,193,"term_spread, default_spread",5
