horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,-0.08176461898419031,0.1735725921479464,-0.4710687210023192,-0.14101485557657883,0.13331264778910706,-1.0577755217918725,0.014516301643454632,220,"term_spread, default_spread",0
3,0.10054470182854809,0.35835670106390477,0.2805715688587563,-0.06611582619136008,0.27448645687095397,-0.24087099576808457,0.026878142955862105,218,"term_spread, default_spread",2
6,0.22679851828189299,0.41534137576389163,0.5460532745257258,0.12083193977392115,0.388780962165205,0.31079695646870675,0.035288662939263915,215,"term_spread, default_spread",5
