horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.2983608511174218,0.19252449646798836,1.5497292894726835,0.5254837666100789,0.18294070298862067,2.8724267373279155,0.04169860195474362,181,"term_spread, default_spread",0
3,0.8734018216414254,0.2314192792601666,3.774110024167555,1.0865436919011733,0.44735717483725845,2.4288057798479277,0.11731775350985074,181,"term_spread, default_spread",2
6,1.24437950049486,0.4066602907204745,3.059997567724672,1.450579039376081,0.40818322032717635,3.5537449045881395,0.1654881211077095,181,"term_spread, default_spread",5
