horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.06045390358852885,0.1463734591994182,0.4130113745974048,0.036227690796734206,0.20603563740696845,0.17583215822598722,0.005988835208311283,413,"term_spread, default_spread",0
3,0.23861223037898957,0.2638296400056904,0.904417829527581,0.10549027213303289,0.25707680600230304,0.410345350766836,0.02084479676760631,411,"term_spread, default_spread",2
6,0.21071689132899207,0.2836649367076572,0.7428372846311817,0.08580861457687483,0.367452147798937,0.23352323585771423,0.011703261600674697,408,"term_spread, default_spread",5
