,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.01489,0.017018,-0.056161,6.093207,0.175691,-0.079647,0.078842,216.0
RV,0.024995,0.026129,2.666171,9.017635,0.602646,0.002476,0.182239,216.0
VIX2,0.039885,0.028494,2.025382,6.267476,0.788058,0.010858,0.196072,216.0
EVT_RV,0.02584,0.024477,1.962922,4.416839,0.732139,0.002476,0.130305,181.0
EVT_VRP,0.014566,0.018845,2.509824,14.417943,0.272228,-0.033041,0.146523,181.0
