horizon,beta_VRP,t_VRP,beta_deltaVRP,t_deltaVRP,R2,N,controls
1,0.026249964042361927,0.17659457814550558,-0.0011246281721742084,-0.004922326184014145,0.00551208230241651,220,"term_spread, default_spread"
3,0.24886189564461175,0.9552974088970246,0.22024325126785863,1.0539361755812953,0.031260406034673394,218,"term_spread, default_spread"
6,0.1547595083413291,0.6295589443224742,0.0474268588177095,0.11078316893515097,0.03435081788642258,215,"term_spread, default_spread"
