horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,-0.033319206412854845,0.14673837250480912,-0.22706539430756506,-0.15115833091963116,0.19558300282504407,-0.772860262580423,0.008909734337942954,424,"term_spread, default_spread",0
3,0.013383938123385206,0.2621981849231252,0.05104512118308252,-0.3353765520575488,0.2598044201910114,-1.2908808549561082,0.0264032457055432,422,"term_spread, default_spread",2
6,-0.09480038970546399,0.2627444773357006,-0.36080830572259914,-0.5170178050248991,0.37297230600993775,-1.386209637267608,0.018808372279747188,419,"term_spread, default_spread",5
