horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,-0.07023381400250404,0.16177428308861774,-0.4341469649043719,-0.23686501007589097,0.22545733632040793,-1.050597926604043,0.01405958977705346,220,"term_spread, default_spread",0
3,0.38310961205352795,0.2764625946655551,1.385755684297859,0.5657363311565019,0.31233729377655284,1.8112993306564011,0.04334441328197114,218,"term_spread, default_spread",2
6,0.3413707775848715,0.2638886832010989,1.293616586523821,0.5068950037315234,0.4953335857206588,1.023340670497931,0.040418088218407755,215,"term_spread, default_spread",5
