horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.05505910139499197,0.18844693905322094,0.2921729674762308,0.04629588009023529,0.28602962973463064,0.16185693815422955,0.005927687872684273,220,"term_spread, default_spread",0
3,0.26132266625057926,0.3083244535751507,0.8475573806113459,0.17965887821235826,0.3313891470665185,0.5421386904269861,0.02838511499875207,218,"term_spread, default_spread",2
6,0.23804984887401498,0.3221575732749767,0.7389236467547767,0.17048256426604613,0.4853312974368873,0.35127049330301174,0.03513336003820067,215,"term_spread, default_spread",5
