horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.06810213331394528,0.22916422887199492,0.29717610662519817,0.0591301178848077,0.30573544325961277,0.19340288863596963,0.006014985139539353,220,"term_spread, default_spread",0
3,0.63445438203758,0.27448653016290153,2.3114226467180217,0.6904170968070223,0.36821916905199636,1.8750167151388262,0.050279802388032424,218,"term_spread, default_spread",2
6,0.7180212263898521,0.2960907004030891,2.425004315948996,0.8350511537941149,0.5541249716534492,1.5069726081869441,0.05004576549822537,215,"term_spread, default_spread",5
