horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.026249964042361927,0.14864535660167688,0.17659457814550933,-0.0011246281721742084,0.2284749385009411,-0.0049223261840141645,0.00551208230241651,220,"term_spread, default_spread",0
3,0.24886189564461175,0.2391195555127458,1.0407425486843824,0.22024325126785863,0.25861534036102396,0.8516248531908496,0.031260406034673394,218,"term_spread, default_spread",2
6,0.1547595083413291,0.2486091641734686,0.6225012213682706,0.0474268588177095,0.4020667429988725,0.11795767653889866,0.03435081788642258,215,"term_spread, default_spread",5
