horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.16224700855434893,0.15948530908481373,1.0173163251548552,0.19000378910675705,0.23305646564677227,0.8152693321743444,0.010787493156548478,413,"term_spread, default_spread",0
3,0.682772230938688,0.20108059896249175,3.395515203662427,0.7813372166652702,0.32249975919014756,2.4227528684900186,0.04968314451182898,411,"term_spread, default_spread",2
6,0.8741082213970965,0.24128923048553283,3.6226574208810622,1.1021811565268205,0.5047687424422782,2.1835368632257537,0.038710707962184454,408,"term_spread, default_spread",5
