,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.006998,0.056388,-7.277753,71.455628,0.116799,-0.610211,0.101722,220.0
RV,0.039959,0.088504,6.731044,54.396866,0.466188,0.001796,0.896865,220.0
VIX2,0.046958,0.047816,3.439632,15.118258,0.748387,0.009044,0.358681,220.0
EVT_RV,0.039556,0.068914,4.682998,25.606683,0.642118,0.001796,0.546244,220.0
EVT_VRP,0.007402,0.036625,-3.320522,19.944273,0.144717,-0.259591,0.130606,220.0
