horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,-0.0016302063859630616,0.15673368002942104,-0.010401123649090927,-0.05647930347786731,0.11811293430926749,-0.4781805126437857,0.006804603173397927,413,"term_spread, default_spread",0
3,0.23528695828251706,0.3339372972318342,0.7045842445061485,0.08051995816248941,0.24220230878455598,0.3324491767504727,0.02085872259780197,411,"term_spread, default_spread",2
6,0.36336721817391165,0.3968288578140464,0.9156774035425245,0.27991730700577494,0.3483641576400291,0.8035192509529596,0.01568168647919288,408,"term_spread, default_spread",5
