horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.346642016974289,0.18915450589766733,1.83258662186891,0.5595223093843584,0.19259253774357377,2.905212818418392,0.04363340910024571,193,"term_spread, default_spread",0
3,0.9489050407500164,0.23855396316054245,3.977737482028,1.0815045198921505,0.4131020345303532,2.618008214657402,0.11694342293689142,193,"term_spread, default_spread",2
6,1.3005324334907915,0.4317085360302829,3.012524249461594,1.2108630979127835,0.46869331378703805,2.583487031485514,0.1590425395234365,193,"term_spread, default_spread",5
