,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.006998,0.056388,-7.277753,71.455628,0.116799,-0.610211,0.101722,220.0
RV,0.039959,0.088504,6.731044,54.396866,0.466188,0.001796,0.896865,220.0
VIX2,0.046958,0.047816,3.439632,15.118258,0.748387,0.009044,0.358681,220.0
EVT_RV,0.042547,0.062577,3.334753,14.049332,0.664077,0.001796,0.470175,220.0
EVT_VRP,0.004411,0.0349,-2.07387,8.739983,0.147218,-0.183522,0.130716,220.0
