horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.2526720937342432,0.19509980965105733,1.2950914415865187,0.4506335557299221,0.32399815329918435,1.3908522352403683,0.02504897667002659,204,"term_spread, default_spread",0
3,0.7479598196140816,0.23614964002245475,3.1673129780886407,1.0729197704405073,0.5175681504723509,2.0730019215079656,0.09337960541042145,204,"term_spread, default_spread",2
6,1.0531724767985269,0.4169508636610977,2.525891102733288,1.4109704139974948,0.4753845713971956,2.968061016053872,0.1385857758752469,204,"term_spread, default_spread",5
