horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.24335920228724103,0.19619410809645157,1.240400155990426,0.5601211106908862,0.2921476082915492,1.9172537949785728,0.03595108720391338,193,"term_spread, default_spread",0
3,0.7471880753643,0.2487234560537259,3.0040917218635883,0.8551251233955848,0.6300561191484872,1.3572205671953086,0.10042339406413336,193,"term_spread, default_spread",2
6,1.0790407055721032,0.4251702495941412,2.537902655705881,1.4333394444799679,0.5592094709035708,2.563153020573807,0.15736160306938674,193,"term_spread, default_spread",5
