,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.006998,0.056388,-7.277753,71.455628,0.116799,-0.610211,0.101722,220.0
RV,0.039959,0.088504,6.731044,54.396866,0.466188,0.001796,0.896865,220.0
VIX2,0.046958,0.047816,3.439632,15.118258,0.748387,0.009044,0.358681,220.0
EVT_RV,0.041798,0.060384,3.569266,15.836786,0.681845,0.001796,0.458837,220.0
EVT_VRP,0.00516,0.033597,-2.343311,12.829443,0.236865,-0.195319,0.133293,220.0
