horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.05131712144741961,0.14523306238345227,0.3533432443359856,0.028411867607293067,0.06123253668709979,0.46399951960962543,0.006633427784722534,220,"term_spread, default_spread",0
3,0.23999599136592578,0.29183382401748587,0.8223720885470284,0.10237972652063632,0.12325560161765049,0.8306294008302119,0.03130355654635719,218,"term_spread, default_spread",2
6,0.26791021511825747,0.3337053633968053,0.8028346095225579,0.15499526908239136,0.18124090473904303,0.8551892262155663,0.03949732995402444,215,"term_spread, default_spread",5
