horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.31971808163004617,0.1851473445935089,1.7268304999566015,0.5587902390280258,0.16755014370780316,3.335062726072743,0.04952128216644491,181,"term_spread, default_spread",0
3,0.9236904640990827,0.20855865943284757,4.428924057197902,1.1955229195094934,0.37805848995447955,3.1622697314731414,0.1314944829771869,181,"term_spread, default_spread",2
6,1.2881113932184751,0.39703151006983123,3.2443555751832336,1.4428746910949977,0.3926301183250887,3.6748955919380863,0.17098976657099285,181,"term_spread, default_spread",5
