horizon,beta_VRP,se_VRP,t_VRP,R2,N,controls
1,0.04451942869582296,0.12954842525070587,0.3436508673082492,0.019329613746158048,436,"term_spread, default_spread, log_cape"
3,0.19724992059223653,0.2672359485856195,0.7381114765292881,0.057279277154425046,434,"term_spread, default_spread, log_cape"
6,0.18039224894662725,0.3045248466819801,0.5923728421904884,0.0567259909334229,431,"term_spread, default_spread, log_cape"
12,-0.0553214757452176,0.18652979035748726,-0.29658252249784406,0.07906308798102313,425,"term_spread, default_spread, log_cape"
