,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.007024,0.056261,-7.294927,71.793334,0.116821,-0.610211,0.101722,221.0
RV,0.039827,0.088324,6.745458,54.636056,0.466375,0.001796,0.896865,221.0
VIX2,0.046851,0.047733,3.447864,15.190666,0.748586,0.009044,0.358681,221.0
EVT_RV,0.039352,0.07815,5.678248,37.76624,0.581036,0.001796,0.68232,221.0
EVT_VRP,0.007499,0.04435,-5.094605,38.311474,0.223839,-0.395667,0.130737,221.0
log_cape,3.370919,0.205441,-0.568722,0.110966,0.952065,2.702374,3.765875,221.0
