horizon,beta_VRP,se_VRP,t_VRP,R2,N,controls
1,0.28080933713118933,0.18353904315885422,1.5299705844502363,0.02650955327749238,216,"term_spread, default_spread, log_cape"
3,0.9748277744402587,0.2662024201689528,3.6619793832886907,0.112933399670063,216,"term_spread, default_spread, log_cape"
6,1.3620001095625756,0.4065295105214655,3.3503105538771445,0.15987468598880117,216,"term_spread, default_spread, log_cape"
12,1.7872384578268778,1.1550281409170793,1.547354903758302,0.1893775475213486,216,"term_spread, default_spread, log_cape"
