horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,-0.04525974622918708,0.12982075580460994,-0.3486325892086657,-0.3065546756564596,0.2717160069668833,-1.1282172113394204,0.01374516011637561,424,"term_spread, default_spread",0
3,0.12169019361803331,0.27365690463108505,0.4446816124814501,-0.20682972845765982,0.38448155848254656,-0.5379444706632107,0.021214618114516193,422,"term_spread, default_spread",2
6,0.008275228122750373,0.26513016425952746,0.03121194506804596,-0.5426157626867749,0.5929736736468595,-0.9150756379277728,0.015986024972469925,419,"term_spread, default_spread",5
