horizon,beta_VRP,t_VRP,beta_deltaVRP,t_deltaVRP,R2,N,controls
1,0.0512442353462542,0.26522908893178343,0.03461169446599016,0.12904673079195766,0.005740436024631257,220,"term_spread, default_spread"
3,0.6884981423170441,2.499407850751324,0.7588571846812425,inf,0.06489008362282123,218,"term_spread, default_spread"
6,0.7834809057360523,3.0015519996760855,0.9180032803505469,2.258286973909595,0.05963173487502982,215,"term_spread, default_spread"
