,mean,std,skew,kurt,AR(1),min,max,N
VRP,0.01489,0.017018,-0.056161,6.093207,0.175691,-0.079647,0.078842,216.0
RV,0.024995,0.026129,2.666171,9.017635,0.602646,0.002476,0.182239,216.0
VIX2,0.039885,0.028494,2.025382,6.267476,0.788058,0.010858,0.196072,216.0
EVT_RV,0.025528,0.025243,2.170781,5.30097,0.724832,0.002476,0.139158,204.0
EVT_VRP,0.013411,0.015276,0.903827,3.72323,0.113061,-0.036566,0.078842,204.0
log_cape,3.387022,0.235223,0.438744,-0.397483,0.971077,2.896068,3.883418,216.0
