horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,0.4339459652195434,0.2142922451524206,2.0250194537412622,0.787963786415136,0.43247888157352055,1.8219705515983298,0.04284849203160879,204,"term_spread, default_spread",0
3,0.8792135510185823,0.3141601778037051,2.7986155252558342,0.5142026650175755,0.6080894745764099,0.8456036266303817,0.08057417165318614,204,"term_spread, default_spread",2
6,1.245185634896451,0.47224689998461056,2.6367259053199263,0.7642030336189867,0.674621563072085,1.132787736785297,0.12847447868108708,204,"term_spread, default_spread",5
