horizon,beta_VRP,se_VRP_HAC,t_VRP_HAC,beta_deltaVRP,se_deltaVRP_HAC,t_deltaVRP_HAC,R2,N,controls,hac_lags
1,-0.14261240495264563,0.14013361840579194,-1.017688735758437,-0.5792343527325701,0.29777114147397404,-1.9452333421746197,0.04687732614355411,220,"term_spread, default_spread",0
3,0.04588647888572349,0.28405118609632546,0.1615429934172596,-0.36103890570582464,0.45441277606543456,-0.7945175063780243,0.031853619428804936,218,"term_spread, default_spread",2
6,-0.08656056639420144,0.24770945557397508,-0.3494439329884656,-0.7535714888773135,0.6903554003888899,-1.091570354128921,0.045288810799405166,215,"term_spread, default_spread",5
