horizon,beta_VRP,se_VRP,t_VRP,R2,N,controls
1,0.024731880605908314,0.1268518273838129,0.19496668763846486,0.037664333025035135,220,"term_spread, default_spread, log_cape"
3,0.14685328897910602,0.2536385344801528,0.5789865064474156,0.08605172483128576,218,"term_spread, default_spread, log_cape"
6,0.12681724328797145,0.28651590500237173,0.4426185111326426,0.09568490753269066,215,"term_spread, default_spread, log_cape"
12,-0.10507113498139134,0.1219135490004552,-0.8618495306128692,0.12366619362841702,209,"term_spread, default_spread, log_cape"
